I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-58, -39, 19, 48, -39, -9, 87, 29, 29, -9, -29, -39, 
-58, -39, 19, 48, -39, -9, 87, 29, 29, -9, -29, -39, 
-58, -39, 19, 48, -39, -9, 87, 29, 29, -9, -29, -39, 
-58, -39, 19, 48, -39, -9, 87, 29, 29, -9, -29, -39, 
-58, -39, 19, 48, -39, -9, 87, 39, 39, 0, -29, -39, 
-58, -39, 19, 48, -39, -9, 87, 39, 39, 0, -29, -39, 
-58, -39, 19, 48, -39, -9, 87, 39, 39, 0, -29, -39, 
-58, -39, 19, 48, -39, -9, 87, 39, 39, 0, -29, -39, 
-58, -39, 19, 48, -39, -9, 87, 39, 39, 9, -19, -29, 
-58, -39, 19, 48, -39, -9, 87, 39, 39, 9, -19, -29, 
-58, -39, 19, 48, -39, -9, 87, 39, 39, 9, -19, -29, 
-58, -39, 19, 48, -39, -9, 87, 39, 39, 9, -19, -29, 
-58, -39, 19, 48, -39, -9, 97, 48, 43, 9, -19, -29, 
-58, -39, 19, 48, -39, -9, 97, 48, 48, 9, -19, -29, 
-58, -39, 19, 48, -39, -9, 97, 48, 53, 9, -19, -29, 
-58, -39, 19, 48, -39, -9, 97, 48, 58, 9, -19, -29, 
-58, -29, 29, 43, -43, 0, 107, 58, 68, 19, -19, -29, 
-58, -29, 29, 43, -43, 0, 107, 58, 68, 19, -19, -29, 
-58, -29, 29, 43, -43, 0, 107, 58, 68, 19, -19, -29, 
-58, -29, 29, 43, -43, 0, 107, 58, 68, 19, -19, -29, 
-58, -29, 29, 43, -43, 0, 107, 63, 78, 29, -19, -29, 
-58, -29, 29, 43, -43, 0, 107, 68, 78, 29, -19, -29, 
-58, -29, 29, 43, -43, 0, 107, 73, 78, 29, -19, -29, 
-58, -29, 29, 43, -43, 0, 107, 78, 78, 29, -19, -29, 
-48, -39, 9, 43, -29, -14, 117, 78, 78, 29, -9, -29, 
-48, -39, 9, 43, -29, -14, 117, 78, 78, 29, -9, -29, 
