I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
190, 136, -53, -163, 122, 41, -580, -1093, -107, -24, 244, 200, 
78, 92, 14, -85, 31, 53, -570, -1171, -463, -283, 68, 161, 
-9, 48, 58, -19, -34, 53, -507, -1112, -575, -375, -39, 112, 
-34, 14, 48, 9, -41, 31, -434, -961, -507, -326, -53, 82, 
-73, -9, 63, 41, -68, 26, -361, -824, -429, -287, -58, 68, 
-102, -29, 73, 65, -87, 21, -326, -756, -400, -283, -87, 48, 
-82, -14, 68, 48, -75, 26, -302, -702, -370, -263, -97, 29, 
-63, 14, 78, 24, -70, 46, -283, -600, -322, -229, -82, 29, 
-53, 34, 87, 9, -70, 61, -234, -497, -258, -175, -58, 34, 
-19, 48, 68, -14, -43, 58, -190, -414, -214, -141, -48, 34, 
-14, 58, 73, -21, -43, 65, -146, -341, -190, -112, -39, 24, 
-34, 43, 78, -4, -56, 61, -92, -258, -146, -92, -39, 4, 
-53, 29, 82, 12, -68, 56, -48, -190, -122, -78, -29, 4, 
-39, 9, 48, 14, -43, 29, -19, -146, -112, -68, -34, -4, 
-29, -9, 19, 19, -24, 4, 0, -117, -112, -73, -43, -24, 
-29, -34, -4, 31, -12, -19, 19, -82, -112, -87, -58, -29, 
-43, -43, 0, 43, -21, -21, 39, -63, -112, -92, -68, -34, 
-48, -48, 0, 48, -24, -24, 39, -58, -112, -102, -82, -34, 
-53, -58, -4, 56, -24, -31, 43, -53, -117, -107, -87, -34, 
-58, -58, 0, 58, -29, -29, 43, -53, -126, -107, -87, -48, 
-63, -63, 0, 63, -31, -31, 48, -43, -126, -107, -87, -48, 
-63, -68, -4, 65, -29, -36, 53, -39, -126, -112, -92, -48, 
-58, -68, -9, 63, -24, -39, 53, -34, -126, -117, -92, -48, 
-63, -78, -14, 70, -24, -46, 63, -24, -126, -117, -107, -48, 
-68, -78, -9, 73, -29, -43, 68, -19, -126, -117, -112, -48, 
-73, -78, -4, 75, -34, -41, 68, -14, -126, -117, -112, -58, 
-73, -78, -4, 75, -34, -41, 68, -4, -126, -117, -112, -58, 
-82, -78, 4, 80, -43, -36, 58, -4, -112, -107, -107, -58, 
-82, -78, 4, 80, -43, -36, 63, 0, -112, -107, -102, -58, 
-82, -78, 4, 80, -43, -36, 73, 4, -112, -107, -97, -63, 
-82, -78, 4, 80, -43, -36, 73, 9, -112, -107, -92, -63, 
-97, -73, 24, 85, -61, -24, 82, 19, -102, -97, -82, -53, 
-102, -73, 29, 87, -65, -21, 82, 24, -97, -97, -82, -53, 
-107, -73, 34, 90, -70, -19, 82, 24, -97, -92, -82, -53, 
-112, -73, 39, 92, -75, -17, 82, 29, -97, -92, -82, -53, 
-97, -73, 24, 85, -61, -24, 73, 19, -97, -97, -92, -68, 
-82, -73, 9, 78, -46, -31, 73, 19, -102, -102, -92, -68, 
-68, -73, -4, 70, -31, -39, 73, 24, -102, -102, -92, -68, 
-48, -73, -24, 61, -12, -48, 73, 24, -102, -107, -87, -68, 
-48, -68, -19, 58, -14, -43, 73, 34, -102, -107, -87, -68, 
-48, -68, -19, 58, -14, -43, 73, 39, -102, -102, -82, -63, 
-53, -68, -14, 61, -19, -41, 78, 43, -92, -92, -78, -63, 
-53, -68, -14, 61, -19, -41, 78, 48, -92, -92, -78, -63, 
-58, -63, -4, 61, -26, -34, 68, 43, -87, -82, -87, -73, 
-53, -63, -9, 58, -21, -36, 68, 43, -87, -82, -87, -68, 
-53, -63, -9, 58, -21, -36, 68, 43, -82, -82, -87, -63, 
-53, -58, -4, 56, -24, -31, 68, 48, -82, -78, -82, -63, 
-63, -58, 4, 61, -34, -26, 78, 58, -73, -68, -78, -53, 
-63, -58, 4, 61, -34, -26, 78, 68, -68, -68, -73, -48, 
-63, -58, 4, 61, -34, -26, 78, 68, -58, -63, -68, -48, 
-63, -58, 4, 61, -34, -26, 78, 68, -53, -63, -63, -48, 
-63, -53, 9, 58, -36, -21, 87, 78, -48, -63, -63, -39, 
-68, -53, 14, 61, -41, -19, 87, 78, -43, -58, -53, -39, 
-73, -53, 19, 63, -46, -17, 87, 82, -39, -53, -48, -39, 
-78, -53, 24, 65, -51, -14, 87, 87, -34, -48, -43, -34, 
-63, -53, 9, 58, -36, -21, 82, 78, -43, -53, -48, -43, 
-58, -48, 9, 53, -34, -19, 78, 82, -43, -53, -48, -43, 
-34, -43, -9, 39, -12, -26, 73, 87, -48, -53, -53, -43, 
-9, -43, -34, 26, 12, -39, 68, 87, -48, -48, -58, -43, 
-14, -43, -29, 29, 7, -36, 68, 97, -34, -39, -48, -43, 
-19, -39, -19, 29, 0, -29, 68, 102, -29, -39, -48, -43, 
-24, -39, -14, 31, -4, -26, 68, 107, -24, -34, -43, -43, 
-24, -39, -14, 31, -4, -26, 68, 112, -19, -34, -39, -39, 
-34, -29, 4, 31, -19, -12, 68, 117, -4, -19, -39, -39, 
-24, -29, -4, 26, -9, -17, 63, 117, 0, -14, -39, -39, 
-19, -24, -4, 21, -7, -14, 63, 126, 4, -14, -34, -39, 
-19, -24, -4, 21, -7, -14, 63, 131, 9, -4, -29, -34, 
-29, -19, 9, 24, -19, -4, 68, 131, 24, 0, -19, -24, 
-29, -19, 9, 24, -19, -4, 68, 141, 29, 4, -14, -19, 
-29, -19, 9, 24, -19, -4, 73, 146, 34, 9, -9, -19, 
-24, -19, 4, 21, -14, -7, 78, 151, 39, 14, -4, -19, 
-24, -9, 14, 17, -19, 2, 78, 165, 53, 24, -4, -14, 
-24, -9, 14, 17, -19, 2, 78, 170, 63, 29, 0, -14, 
-14, -9, 4, 12, -9, -2, 78, 180, 73, 34, 4, -9, 
-9, 0, 9, 4, -9, 4, 78, 190, 78, 43, 14, -9, 
-9, 4, 14, 2, -12, 9, 78, 195, 82, 39, 19, -9, 
-9, 4, 14, 2, -12, 9, 78, 200, 92, 48, 24, -9, 
0, 9, 9, -4, -4, 9, 78, 204, 102, 58, 29, -4, 
4, 14, 9, -9, -2, 12, 78, 219, 112, 63, 34, -4, 
9, 9, 0, -9, 4, 4, 68, 224, 112, 68, 29, -4, 
14, 14, 0, -14, 7, 7, 68, 234, 122, 82, 34, -9, 
29, 19, -9, -24, 19, 4, 63, 248, 131, 87, 43, -4, 
43, 24, -19, -34, 31, 2, 63, 258, 146, 97, 48, -9, 
39, 29, -9, -34, 24, 9, 68, 268, 165, 122, 58, 4, 
39, 34, -4, -36, 21, 14, 73, 278, 185, 126, 63, 9, 
39, 39, 0, -39, 19, 19, 78, 287, 195, 136, 68, 9, 
39, 43, 4, -41, 17, 24, 78, 302, 209, 146, 73, 14, 
39, 58, 19, -48, 9, 39, 73, 326, 234, 165, 87, 24, 
48, 63, 14, -56, 17, 39, 73, 336, 248, 175, 97, 24, 
48, 68, 19, -58, 14, 43, 73, 351, 263, 190, 117, 29, 
48, 73, 24, -61, 12, 48, 73, 361, 283, 200, 131, 34, 
73, 82, 9, -78, 31, 46, 53, 361, 287, 209, 131, 34, 
82, 87, 4, -85, 39, 46, 48, 370, 302, 219, 141, 34, 
92, 92, 0, -92, 46, 46, 48, 385, 326, 229, 151, 34, 
107, 102, -4, -104, 56, 48, 48, 400, 341, 248, 161, 34, 
122, 117, -4, -119, 63, 56, 48, 414, 356, 244, 161, 48, 
126, 117, -9, -122, 68, 53, 39, 424, 370, 258, 170, 53, 
136, 122, -14, -129, 75, 53, 39, 434, 385, 273, 185, 58, 
146, 126, -19, -136, 82, 53, 39, 444, 400, 297, 200, 58, 
156, 131, -24, -143, 90, 53, 43, 453, 419, 307, 209, 63, 
156, 141, -14, -148, 85, 63, 39, 453, 434, 317, 214, 63, 
