I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-48, 39, 87, 4, -68, 63, -556, -58, 175, 68, 9, -9, 
-48, 34, 82, 7, -65, 58, -566, -58, 175, 68, 14, -14, 
-48, 29, 78, 9, -63, 53, -575, -58, 175, 68, 19, -19, 
-48, 29, 78, 9, -63, 53, -585, -73, 161, 68, 19, -19, 
-48, 29, 78, 9, -63, 53, -595, -87, 146, 68, 19, -19, 
-48, 29, 78, 9, -63, 53, -605, -92, 136, 68, 19, -19, 
-48, 29, 78, 9, -63, 53, -614, -97, 126, 68, 19, -19, 
-48, 34, 82, 7, -65, 58, -614, -102, 117, 68, 19, -19, 
-48, 39, 87, 4, -68, 63, -614, -107, 107, 68, 19, -19, 
-48, 39, 87, 4, -68, 63, -624, -112, 102, 68, 19, -19, 
-48, 39, 87, 4, -68, 63, -634, -117, 97, 68, 19, -19, 
-48, 29, 78, 9, -63, 53, -644, -122, 87, 58, 19, -24, 
-48, 19, 68, 14, -58, 43, -653, -126, 78, 48, 19, -29, 
-48, 19, 68, 14, -58, 43, -658, -126, 78, 48, 14, -29, 
-48, 19, 68, 14, -58, 43, -663, -126, 78, 48, 9, -29, 
-48, 24, 73, 12, -61, 48, -668, -126, 78, 48, 9, -39, 
-48, 29, 78, 9, -63, 53, -673, -126, 78, 48, 9, -48, 
-48, 29, 78, 9, -63, 53, -683, -136, 73, 48, 9, -39, 
-48, 29, 78, 9, -63, 53, -692, -146, 68, 48, 9, -29, 
-48, 29, 78, 9, -63, 53, -697, -146, 53, 48, 9, -29, 
-48, 29, 78, 9, -63, 53, -702, -146, 39, 48, 9, -29, 
-43, 34, 78, 4, -61, 56, -707, -146, 34, 48, 4, -34, 
-39, 39, 78, 0, -58, 58, -712, -146, 29, 48, 0, -39, 
-39, 39, 78, 0, -58, 58, -722, -156, 29, 48, 0, -39, 
-39, 39, 78, 0, -58, 58, -732, -165, 29, 48, 0, -39, 
-39, 24, 63, 7, -51, 43, -732, -170, 29, 43, 0, -39, 
-39, 9, 48, 14, -43, 29, -732, -175, 29, 39, 0, -39, 
-34, 24, 58, 4, -46, 41, -736, -175, 29, 39, 0, -39, 
-29, 39, 68, -4, -48, 53, -741, -175, 29, 39, 0, -39, 
-29, 39, 68, -4, -48, 53, -741, -185, 39, 39, -4, -43, 
-29, 39, 68, -4, -48, 53, -741, -195, 48, 39, -9, -48, 
-39, 34, 73, 2, -56, 53, -741, -195, 53, 39, -9, -48, 
-48, 29, 78, 9, -63, 53, -741, -195, 58, 39, -9, -48, 
-48, 29, 78, 9, -63, 53, -741, -200, 73, 39, -4, -48, 
-48, 29, 78, 9, -63, 53, -741, -204, 87, 39, 0, -48, 
-43, 29, 73, 7, -58, 51, -741, -204, 87, 34, 0, -48, 
-39, 29, 68, 4, -53, 48, -741, -204, 87, 29, 0, -48, 
-39, 29, 68, 4, -53, 48, -741, -195, 92, 29, -9, -48, 
