I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-117, -87, 29, 102, -73, -29, 78, 117, -9, 19, -19, 19, 
-117, -87, 29, 102, -73, -29, 78, 117, -9, 19, -19, 19, 
-117, -87, 29, 102, -73, -29, 78, 117, -9, 19, -19, 19, 
-117, -87, 29, 102, -73, -29, 78, 117, -9, 19, -19, 19, 
-122, -87, 34, 104, -78, -26, 82, 117, 0, 29, -14, 29, 
-126, -87, 39, 107, -82, -24, 87, 117, 0, 29, -9, 29, 
-131, -87, 43, 109, -87, -21, 92, 117, 0, 29, -4, 29, 
-136, -87, 48, 112, -92, -19, 97, 117, 0, 29, 0, 29, 
-131, -82, 48, 107, -90, -17, 107, 126, 9, 39, 0, 39, 
-126, -78, 48, 102, -87, -14, 107, 126, 9, 39, 0, 39, 
-122, -73, 48, 97, -85, -12, 107, 126, 9, 39, 0, 39, 
-117, -68, 48, 92, -82, -9, 107, 126, 9, 39, 0, 39, 
-112, -53, 58, 82, -85, 2, 122, 131, 14, 48, 9, 43, 
-107, -48, 58, 78, -82, 4, 126, 136, 14, 48, 9, 43, 
-92, -43, 48, 68, -70, 2, 131, 141, 14, 48, 9, 48, 
-87, -29, 58, 58, -73, 14, 136, 141, 14, 48, 9, 53, 
-78, -34, 43, 56, -61, 4, 136, 141, 29, 39, 14, 53, 
-78, -34, 43, 56, -61, 4, 136, 141, 29, 43, 14, 53, 
-68, -34, 34, 51, -51, 0, 136, 141, 34, 53, 19, 58, 
-63, -24, 39, 43, -51, 7, 136, 151, 39, 53, 24, 68, 
-63, -19, 43, 41, -53, 12, 146, 151, 53, 63, 39, 73, 
-63, -4, 58, 34, -61, 26, 146, 151, 58, 73, 48, 78, 
-58, 14, 73, 21, -65, 43, 136, 136, 58, 87, 53, 92, 
-53, 24, 78, 14, -65, 51, 117, 131, 58, 92, 58, 92, 
-43, 34, 78, 4, -61, 56, 102, 117, 53, 82, 58, 87, 
-34, 39, 73, -2, -53, 56, 97, 112, 48, 82, 58, 87, 
-29, 39, 68, -4, -48, 53, 87, 102, 43, 82, 58, 87, 
-24, 39, 63, -7, -43, 51, 87, 92, 34, 82, 58, 92, 
-39, 29, 68, 4, -53, 48, 78, 73, 39, 87, 63, 97, 
-39, 29, 68, 4, -53, 48, 73, 63, 34, 82, 63, 97, 
-43, 29, 73, 7, -58, 51, 53, 53, 29, 78, 63, 102, 
-48, 19, 68, 14, -58, 43, 58, 43, 24, 73, 58, 97, 
-53, 24, 78, 14, -65, 51, 53, 48, 14, 63, 53, 87, 
-53, 24, 78, 14, -65, 51, 48, 39, 9, 58, 53, 92, 
-53, 19, 73, 17, -63, 46, 48, 39, 4, 53, 53, 92, 
-53, 19, 73, 17, -63, 46, 43, 29, 0, 48, 48, 92, 
-48, 9, 58, 19, -53, 34, 43, 19, -4, 58, 48, 92, 
-48, 0, 48, 24, -48, 24, 48, 14, -9, 58, 43, 87, 
-48, -4, 43, 26, -46, 19, 58, 14, -9, 58, 43, 87, 
-58, -14, 43, 36, -51, 14, 73, 19, -9, 53, 43, 87, 
-48, -14, 34, 31, -41, 9, 87, 14, -4, 53, 53, 97, 
-68, -14, 53, 41, -61, 19, 92, 14, -4, 53, 53, 97, 
-73, -14, 58, 43, -65, 21, 97, 14, -4, 53, 53, 92, 
-78, -24, 53, 51, -65, 14, 97, 9, -9, 53, 48, 87, 
-92, -29, 63, 61, -78, 17, 102, 9, -14, 58, 48, 92, 
-107, -48, 58, 78, -82, 4, 112, 4, -19, 53, 53, 87, 
-112, -58, 53, 85, -82, -2, 122, 0, -29, 53, 48, 82, 
-131, -82, 48, 107, -90, -17, 126, -4, -39, 43, 53, 78, 
-156, -102, 53, 129, -104, -24, 136, -19, -39, 48, 53, 82, 
-165, -112, 53, 139, -109, -29, 151, -24, -43, 53, 63, 82, 
-175, -126, 48, 151, -112, -39, 165, -29, -48, 53, 63, 87, 
-190, -136, 53, 163, -122, -41, 180, -29, -48, 58, 73, 92, 
-190, -146, 43, 168, -117, -51, 209, -43, -39, 82, 92, 102, 
-200, -151, 48, 175, -124, -51, 229, -53, -39, 92, 107, 112, 
-209, -151, 58, 180, -134, -46, 248, -58, -39, 107, 126, 112, 
-219, -156, 63, 187, -141, -46, 268, -63, -43, 117, 146, 117, 
-209, -151, 58, 180, -134, -46, 283, -63, -43, 122, 161, 122, 
-209, -156, 53, 183, -131, -51, 297, -68, -48, 122, 156, 117, 
-214, -161, 53, 187, -134, -53, 312, -68, -48, 126, 161, 117, 
-214, -165, 48, 190, -131, -58, 326, -63, -53, 131, 165, 117, 
-219, -170, 48, 195, -134, -61, 317, -53, -53, 122, 161, 107, 
