I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-146, 9, 156, 68, -151, 82, -248, -531, -527, -634, -331, -190, 
-136, 14, 151, 61, -143, 82, -204, -444, -424, -580, -302, -190, 
-126, 0, 126, 63, -126, 63, -136, -351, -331, -531, -268, -180, 
-122, -34, 87, 78, -104, 26, -92, -268, -253, -483, -239, -156, 
-107, -53, 53, 80, -80, 0, -34, -190, -170, -419, -190, -131, 
-92, -63, 29, 78, -61, -17, 0, -136, -87, -351, -141, -102, 
-82, -73, 9, 78, -46, -31, 9, -112, -39, -312, -117, -82, 
-78, -82, -4, 80, -36, -43, 19, -107, -19, -292, -112, -73, 
-78, -68, 9, 73, -43, -29, 19, -92, 4, -273, -92, -68, 
-68, -58, 9, 63, -39, -24, 14, -78, 29, -248, -78, -68, 
-68, -53, 14, 61, -41, -19, 14, -68, 68, -234, -73, -68, 
-68, -53, 14, 61, -41, -19, 19, -53, 92, -229, -73, -73, 
-68, -68, 0, 68, -34, -34, 29, -43, 107, -224, -78, -82, 
-58, -87, -29, 73, -14, -58, 39, -39, 112, -214, -63, -68, 
-58, -87, -29, 73, -14, -58, 39, -39, 117, -204, -58, -68, 
-63, -87, -24, 75, -19, -56, 43, -34, 117, -204, -53, -68, 
-63, -87, -24, 75, -19, -56, 48, -24, 122, -195, -53, -68, 
-68, -73, -4, 70, -31, -39, 58, -29, 117, -214, -58, -78, 
-68, -73, -4, 70, -31, -39, 63, -24, 122, -214, -73, -78, 
-68, -68, 0, 68, -34, -34, 63, -19, 122, -214, -78, -82, 
-68, -63, 4, 65, -36, -29, 63, -19, 117, -214, -78, -82, 
-58, -78, -19, 68, -19, -48, 53, -9, 131, -204, -68, -82, 
-53, -73, -19, 63, -17, -46, 48, -9, 136, -195, -68, -78, 
-53, -78, -24, 65, -14, -51, 48, -9, 136, -195, -68, -68, 
-48, -92, -43, 70, -2, -68, 48, -9, 141, -195, -58, -63, 
-53, -97, -43, 75, -4, -70, 63, 0, 146, -185, -48, -73, 
-48, -97, -48, 73, 0, -73, 63, 4, 146, -180, -53, -73, 
-48, -92, -43, 70, -2, -68, 68, 9, 146, -180, -53, -73, 
-48, -107, -58, 78, 4, -82, 68, 9, 151, -180, -48, -73, 
-48, -112, -63, 80, 7, -87, 68, 4, 141, -185, -58, -73, 
-43, -92, -48, 68, 2, -70, 63, 4, 136, -185, -58, -78, 
-39, -87, -48, 63, 4, -68, 63, 4, 136, -185, -58, -78, 
-34, -82, -48, 58, 7, -65, 68, 4, 151, -185, -58, -78, 
-39, -92, -53, 65, 7, -73, 78, 4, 141, -185, -58, -73, 
-39, -97, -58, 68, 9, -78, 68, 4, 136, -185, -58, -73, 
-43, -97, -53, 70, 4, -75, 68, 4, 136, -185, -58, -73, 
-48, -102, -53, 75, 2, -78, 73, 4, 141, -185, -53, -73, 
-53, -122, -68, 87, 7, -95, 73, 0, 151, -175, -43, -73, 
-58, -131, -73, 95, 7, -102, 73, 9, 151, -165, -39, -68, 
-63, -136, -73, 100, 4, -104, 73, 9, 151, -165, -39, -68, 
-68, -146, -78, 107, 4, -112, 73, 9, 151, -170, -39, -68, 
-63, -122, -58, 92, -2, -90, 63, 4, 141, -175, -48, -73, 
-58, -102, -43, 80, -7, -73, 58, 0, 136, -180, -58, -78, 
-53, -87, -34, 70, -9, -61, 53, -4, 131, -185, -63, -82, 
-48, -78, -29, 63, -9, -53, 48, -4, 131, -185, -63, -82, 
-43, -102, -58, 73, 7, -80, 53, 9, 141, -185, -53, -73, 
-43, -92, -48, 68, 2, -70, 58, 9, 136, -185, -53, -78, 
-43, -82, -39, 63, -2, -61, 58, 4, 131, -185, -63, -82, 
-43, -73, -29, 58, -7, -51, 63, 4, 131, -190, -63, -87, 
-58, -87, -29, 73, -14, -58, 63, 9, 141, -190, -63, -78, 
-68, -92, -24, 80, -21, -58, 68, 14, 146, -190, -58, -73, 
-73, -107, -34, 90, -19, -70, 68, 19, 151, -190, -58, -73, 
-73, -112, -39, 92, -17, -75, 63, 29, 151, -185, -58, -68, 
-58, -87, -29, 73, -14, -58, 63, 14, 146, -180, -53, -68, 
-58, -82, -24, 70, -17, -53, 63, 9, 146, -180, -53, -68, 
-58, -78, -19, 68, -19, -48, 68, 9, 141, -180, -53, -68, 
-58, -82, -24, 70, -17, -53, 68, 4, 136, -180, -53, -68, 
-53, -87, -34, 70, -9, -61, 68, 14, 136, -175, -43, -68, 
-53, -87, -34, 70, -9, -61, 63, 14, 141, -170, -43, -73, 
-53, -87, -34, 70, -9, -61, 63, 14, 146, -170, -43, -73, 
-53, -92, -39, 73, -7, -65, 63, 19, 151, -165, -43, -73, 
-58, -87, -29, 73, -14, -58, 73, 24, 161, -165, -39, -73, 
-63, -87, -24, 75, -19, -56, 73, 29, 170, -165, -39, -73, 
-68, -87, -19, 78, -24, -53, 73, 39, 170, -165, -39, -73, 
-73, -87, -14, 80, -29, -51, 73, 43, 170, -165, -39, -73, 
-58, -73, -14, 65, -21, -43, 63, 43, 165, -165, -53, -82, 
-58, -68, -9, 63, -24, -39, 68, 39, 161, -165, -53, -82, 
-58, -63, -4, 61, -26, -34, 68, 34, 156, -165, -53, -82, 
-58, -58, 0, 58, -29, -29, 63, 29, 151, -165, -53, -82, 
-63, -82, -19, 73, -21, -51, 73, 34, 165, -161, -43, -78, 
-68, -97, -29, 82, -19, -63, 73, 39, 165, -161, -39, -73, 
-73, -97, -24, 85, -24, -61, 73, 43, 165, -161, -39, -68, 
-78, -112, -34, 95, -21, -73, 73, 53, 165, -161, -39, -58, 
-68, -107, -39, 87, -14, -73, 73, 53, 170, -161, -53, -63, 
-58, -112, -53, 85, -2, -82, 68, 43, 165, -161, -58, -68, 
-53, -92, -39, 73, -7, -65, 63, 34, 161, -165, -63, -73, 
-43, -87, -43, 65, 0, -65, 58, 29, 156, -165, -68, -78, 
-53, -92, -39, 73, -7, -65, 68, 34, 165, -165, -63, -68, 
-48, -92, -43, 70, -2, -68, 68, 39, 165, -165, -58, -63, 
-48, -87, -39, 68, -4, -63, 68, 48, 170, -161, -53, -63, 
-43, -73, -29, 58, -7, -51, 68, 53, 175, -161, -43, -63, 
-48, -78, -29, 63, -9, -53, 68, 53, 165, -170, -43, -63, 
-53, -82, -29, 68, -12, -56, 68, 53, 165, -170, -43, -63, 
-58, -87, -29, 73, -14, -58, 68, 63, 170, -165, -43, -63, 
-63, -97, -34, 80, -14, -65, 68, 63, 170, -165, -43, -63, 
-68, -82, -14, 75, -26, -48, 68, 53, 161, -165, -43, -63, 
-73, -78, -4, 75, -34, -41, 68, 53, 161, -161, -43, -63, 
-78, -73, 4, 75, -41, -34, 68, 63, 161, -151, -39, -63, 
-82, -68, 14, 75, -48, -26, 68, 63, 165, -146, -39, -58, 
-78, -63, 14, 70, -46, -24, 68, 78, 180, -136, -39, -58, 
-73, -63, 9, 68, -41, -26, 68, 82, 180, -136, -39, -58, 
-68, -53, 14, 61, -41, -19, 68, 82, 185, -136, -34, -58, 
-58, -48, 9, 53, -34, -19, 73, 82, 185, -136, -34, -58, 
-53, -48, 4, 51, -29, -21, 63, 78, 175, -136, -39, -58, 
-53, -48, 4, 51, -29, -21, 63, 82, 175, -136, -39, -58, 
-48, -43, 4, 46, -26, -19, 63, 82, 180, -141, -43, -58, 
-43, -34, 9, 39, -26, -12, 63, 87, 180, -156, -43, -58, 
-48, -43, 4, 46, -26, -19, 63, 82, 170, -165, -53, -58, 
-53, -48, 4, 51, -29, -21, 63, 87, 170, -165, -43, -63, 
-58, -63, -4, 61, -26, -34, 68, 102, 170, -165, -43, -58, 
-63, -63, 0, 63, -31, -31, 68, 102, 170, -165, -43, -63, 
-58, -48, 9, 53, -34, -19, 58, 102, 175, -156, -34, -63, 
-58, -48, 9, 53, -34, -19, 58, 107, 175, -156, -34, -63, 
-58, -29, 29, 43, -43, 0, 58, 112, 180, -156, -39, -63, 
-58, -39, 19, 48, -39, -9, 58, 117, 185, -156, -39, -63, 
-68, -39, 29, 53, -48, -4, 68, 126, 195, -151, -24, -53, 
-68, -34, 34, 51, -51, 0, 73, 126, 195, -151, -24, -53, 
-63, -29, 34, 46, -48, 2, 73, 136, 195, -151, -24, -58, 
-63, -24, 39, 43, -51, 7, 73, 141, 195, -151, -24, -58, 
-78, -34, 43, 56, -61, 4, 73, 146, 204, -141, -34, -48, 
-78, -39, 39, 58, -58, 0, 73, 146, 204, -146, -34, -48, 
-78, -39, 39, 58, -58, 0, 73, 165, 204, -146, -34, -48, 
-78, -29, 48, 53, -63, 9, 73, 151, 204, -146, -34, -48, 
-68, 0, 68, 34, -68, 34, 63, 156, 200, -156, -34, -58, 
-63, 14, 78, 24, -70, 46, 63, 151, 190, -161, -39, -58, 
-58, 4, 63, 26, -61, 34, 58, 151, 185, -161, -39, -58, 
-53, 19, 73, 17, -63, 46, 58, 146, 185, -161, -39, -48, 
-68, 19, 87, 24, -78, 53, 63, 161, 185, -156, -39, -58, 
-68, 19, 87, 24, -78, 53, 68, 161, 185, -161, -39, -58, 
-68, 14, 82, 26, -75, 48, 68, 161, 180, -165, -39, -58, 
-68, 14, 82, 26, -75, 48, 68, 170, 175, -165, -39, -63, 
-58, 4, 63, 26, -61, 34, 82, 175, 180, -156, -39, -53, 
-58, 4, 63, 26, -61, 34, 82, 175, 180, -156, -39, -53, 
-58, 9, 68, 24, -63, 39, 78, 175, 185, -161, -39, -53, 
-48, 24, 73, 12, -61, 48, 78, 175, 185, -165, -43, -58, 
-48, 19, 68, 14, -58, 43, 78, 170, 175, -170, -39, -58, 
-48, -4, 43, 26, -46, 19, 78, 170, 170, -175, -39, -53, 
-48, -9, 39, 29, -43, 14, 78, 170, 165, -180, -34, -53, 
-48, 4, 53, 21, -51, 29, 78, 170, 151, -190, -34, -53, 
-43, 9, 53, 17, -48, 31, 73, 156, 131, -190, -43, -53, 
-39, -4, 34, 21, -36, 14, 73, 151, 131, -195, -43, -53, 
-39, 9, 48, 14, -43, 29, 68, 146, 131, -209, -48, -53, 
-34, 19, 53, 7, -43, 36, 53, 141, 122, -214, -58, -58, 
-43, 29, 73, 7, -58, 51, 63, 131, 126, -214, -58, -48, 
-39, 29, 68, 4, -53, 48, 63, 136, 122, -219, -58, -48, 
-39, 29, 68, 4, -53, 48, 58, 136, 117, -219, -58, -48, 
-39, 24, 63, 7, -51, 43, 58, 141, 112, -219, -58, -48, 
-48, 24, 73, 12, -61, 48, 58, 126, 107, -229, -48, -53, 
-63, 24, 87, 19, -75, 56, 58, 122, 102, -229, -53, -53, 
-73, 34, 107, 19, -90, 70, 53, 122, 92, -224, -53, -53, 
-82, 34, 117, 24, -100, 75, 53, 122, 92, -219, -48, -53, 
-82, 43, 126, 19, -104, 85, 43, 117, 97, -214, -43, -34, 
-82, 53, 136, 14, -109, 95, 39, 107, 97, -209, -39, -29, 
-82, 53, 136, 14, -109, 95, 34, 107, 92, -204, -29, -14, 
-82, 53, 136, 14, -109, 95, 29, 102, 87, -204, -24, -9, 
-78, 43, 122, 17, -100, 82, 14, 97, 87, -204, -34, -9, 
-73, 53, 126, 9, -100, 90, 9, 92, 87, -204, -34, -9, 
-68, 53, 122, 7, -95, 87, 9, 87, 78, -204, -34, -9, 
-63, 48, 112, 7, -87, 80, 9, 82, 78, -204, -24, 0, 
-58, 48, 107, 4, -82, 78, 9, 78, 73, -209, -24, 0, 
-63, 43, 107, 9, -85, 75, 9, 68, 68, -204, -19, 4, 
-68, 43, 112, 12, -90, 78, -4, 43, 63, -200, -14, 0, 
-68, 39, 107, 14, -87, 73, -9, 34, 58, -190, -4, -4, 
-58, 24, 82, 17, -70, 53, -4, 39, 68, -185, -9, 0, 
-53, 58, 112, -2, -82, 85, -14, 29, 68, -185, -9, 0, 
-53, 43, 97, 4, -75, 70, -9, 24, 58, -175, -9, 0, 
-53, 14, 68, 19, -61, 41, -4, 29, 68, -170, 4, 9, 
-43, 14, 58, 14, -51, 36, -14, 14, 68, -175, -4, 4, 
-39, 29, 68, 4, -53, 48, -14, 4, 63, -170, -4, 0, 
-29, 19, 48, 4, -39, 34, -14, 0, 58, -170, -4, -4, 
